中文,英文,例句（中英文）,分类,出处,道次第补充目录,页码/日期/题目,备注,,,
教观,teching and contemplation,"Other schools of the teaching, including Tiantai and Huayan, attached importance to both teaching and contemplation, as well as chanting the name of the Buddha比如天台、华严宗，既注重教观，同时也念佛。",龙泉寺,LQI20170917,,LQI20170917把心看住 | Keep Our Minds from Becoming Attached to Sense Objects,学诚法师,,,
教化,preach,释迦牟尼一生游行教化的区域，是哪些地方？Where did Sakyamuni travel and preach during his life?,微信群,佛教常识问答,,第一章第22问,作者：赵朴初,,,
教理,the Dharma principles,We should study the Dharma principles diligently and practice its teachings. 我们需要认认真真去学习教理，去实践教法。,龙泉寺,LQI20170321,,20170321 领会深层次的快乐,学诚法师,,,
教理、教制、教产,"Buddhist doctrines, Buddhist rules, and Buddhist possessions","此时涌现出以太虚大师为代表的佛教改革先行者，提出了教理、教制、教 产三大革命的口号。At that time, some pioneers of Buddhist reform sprang up, among whom one of the outstanding representatives was VeneratedMaster Taixu who put forward three revolutionary watchwords: Buddhist doctrines, Buddhist rules, and Buddhist possessions.",微信群,各种微信,,《中国佛教现状》,学诚法师,,,
接触,encounter,"These two breaths enable you to cut through forgetfulness and unnecessary thinking, at the same time giving rise to mindfulness and enabling you to encounter life in the present moment. 这两口气息能帮助你打断昏沉和妄念，同时使你生起专念和接触当下此刻的生命。",读书会,故道白云,,第五十六章,P559,,,
孑然一身,live alone,人不是孑然一身而存于世的。We do not live alone in this world.,龙泉寺,龙泉微开示,,10/9/2017,学诚法师,,,
劫,eons,"Those beings have been taken across, are being taken across, will be taken across, have been brought to accomplishment, are being brought to accomplishment, or will be brought to accomplishment by Earth Store Bodhisattva, throughout many eons.此皆是地藏菩萨久远劫来，已度、当度、未度，已成就、当成就、未成就。",经论,《地藏菩萨本愿经》,,第一品,万佛城,,,
结果,bearing fruit,The trees were in their eighth year of bearing fruit.那里的树，已是第八年结果了。,读书会,故道白云,,,P584,?,,
结集,compile and edit,"佛逝世的那一年，佛的弟子，以摩诃迦叶为首的五百人集会在王舍城外的七叶窟，将佛一生所说的言教结集起来，以传后世。In the year of the Buddha’s Parinibbana, his five hundred disciples headed by Ven. Mahakassapa held an assembly at Saptaparna Cave (P. Sattapanni-guha) near Rajagaha to compile and edit the Buddha’s teachings for posterity.",微信群,佛教常识问答,,第二章第35问,作者：赵朴初,,,
结集,Samgiti,这一次结集称为第一结集。This Buddhist council was termed the First Samgiti.,微信群,佛教常识问答,,第二章第35问,作者：赵朴初,,,
结跏,cross-legged,"Under the shadows of the green bamboo, the young bhikkhu, Svasti, sat crossing the legged, concentrating on his breath.翠竹影下， 年轻的比丘傅悉底结跏而坐，全神专注其呼吸。",读书会,故道白云,,,P6,?,,
竭尽全力,used all the means at their disposal,"Lay patrons Sudatta, Visakha, and Mallika used all themeans at their disposal to provide food and dwelling fornearly three thousand monks and nuns. 而在家的大护法，善达多、鹿子母和摩利，更竭尽全力以提供饮食住宿给这些远道而来的僧尼。",读书会,故道白云,,第五十六章,P554,,,
羯磨,Kamma,"羯磨本是办事的意思，但僧伽中办事的方法是通过会议，所以它的完整的意思就是“会议办事”。Kamma originally meant action. Since among Sangha, everything is settled through Sangha meetings, so its complete meaning is “action (or settlement of things) through Sangha assembly”.",微信群,佛教常识问答,,第三章第23问,作者：赵朴初,,,
解读、破解,decipher,"而佛教传播到世界各地，受到种种文化习俗的影响，更让它变得复杂而难以破解。As Buddhism traveled to different parts of the world, the cultureal characteristics it accumulated have made it even more complicated to decipher.",读书会,正见,,Introduction P2,,,,
解决的/转变,resolved,He resolved with all his heart to nurture humility and virtue within himself,读书会,故道白云,,,P21,?,,
解脱,Liberation,"It will  lead  to  success  in  practicing  the  Four Establishments of Mindfulness and the Seven Factorsof Awakening, which will give rise to Understandingand Liberation.它可以帮助你们成就四念处和七种正觉因素的修行，随而使你们生起智慧和证得解脱。",读书会,故道白云,,第五十六章,P558,,,
解脱,extrication,无明太给力了，想要解脱就会变得很无力。Ignorance is so powerful that we will feel very weak in seeking the extrication from it. ​​​​,菩提书院,导师微博,,8/8/2017,,,,
解脱,Liberation /freedom from,解脱，不等于说等人死了以后才是解脱。解脱是解脱内心的各种对立。Liberation doesn't come after death.It is freedom from all the internal confrontations.,龙泉寺,龙泉微开示,,8/9/2017,学诚法师,,,
解脱的资粮,the nourishment of liberation,"As the boy finds fresh grass and water for his buffloes, the bihkkhu knows that the Four Establishment of Mindfulness are the nourishment leading to liberation.又如那牧童去找新鲜的水和草给牛作粮，一个比丘也知道‘四念处’是可导致解脱的资粮。",读书会,故道白云,,,P24,?,,
解脱生死,liberate from birth and death.,We must obtain wisdom to completely destroy all attachments and only in this way can we liberate from birth and death.必须以智慧，彻底破除一切执着，才能解脱生死。,龙泉寺,LQI20170625,,言谈间师父传递的心法,学诚法师,,,
戒,discipline,"戒是不起心动念Discipline is to, not give rise to , unwholesomethoughts.",各种开示,静思语,,静思语第11条,证严上人,,,
戒疤,dot-scars,"至于受戒并不需要在头顶上烧戒疤。除汉族外，其他民族僧人都没有烧戒疤的规矩。Regarding burning dot-scars on the top of head at the time of ordination, the monastics of other nationalities do not have such regulations, it is only the Han monks who do.",微信群,佛教常识问答,,第三章第37问,作者：赵朴初,,,
戒的体,the embodiment of commandment,This is because the embodiment of commandment arises from the master. 因为戒的体是依师父生起来的,各种开示,慧日佛教英语,,戒的体是依师父生起的,传喜法师,,,
戒定慧,"morality, meditation, wisdom","a good practitioner of the 'three discipline'(morality, meditation, and wisdom) can greatly benefit others even when seated telling stories or speaking a few words真正有戒定慧功夫的人，坐在那里，讲一个故事，说几句话，都会令听者受益极大",龙泉寺,LQI20170625,,言谈间师父传递的心法,学诚法师,,,
戒定慧的功夫,"the practice of precept, concentration, and wisdom","只有自己内心戒定慧的功夫足够强，才能不被外境所转，才有力量去影响、帮助他人。Only when we have attained certain level in the practice of precept, concentration, and wisdom, can we not be swayed by outside circumstances and have the power to influence and help others.",龙泉寺,龙泉微开示,,8/24/2017,学诚法师,,,
戒恶修善,"stop evil behavior, do good deeds","but rather asking his disciple to stop evil behavior, do good deeds and cultivate perfect personality.先让你戒恶修善，要培养你的人格，人品，完善人品，",各种开示,慧日佛教英语,,当弟子人格很纯善了，师父有可能才会给你讲“真实意”,传喜法师,,,
戒律,disciplined,"他严守戒律，不论当地的牧童如何用草搔他的耳朵，对着他的脸吹号角，都不为所动。He was so disciplined that the local cowherd children, who tickled his ears with grass and blew trumpets in his face, never succeeded in stirring him.",读书会,正见,,Chapter 2 P,,,,
戒律,Precepts and Disciplines,"长期从事唯识、戒律的研究及讲授。Master Jiqun has long been engaged in both the study and teaching of Consciousness-only (Vijnapti-matrata), Precepts and Disciplines (Sila and Vinaya).",菩提书院,六折页,,6 pages,,,,
戒律清规,religious disciplines and monastic rules,"在寺院管理方面，逐步尝 试将戒律清规与现代管理制度相结合。Moreover, with regards to monastery management, a gradual attempt to integrate religious disciplines and monastic rules into a modern management system is under way.",微信群,各种微信,,《中国佛教现状》,学诚法师,,,
戒体,pure essence,"Repentance is also a necessity prior to the Three Refuge ritual and all precept transmission rituals, in order for refugees and preceptees to receive the pure essence of the transmissions在皈依仪轨里面，正受三皈前要忏悔，受戒前也是一样，要先忏悔清净才能得到皈依体和戒体。",龙泉寺,LQI20170712,,为什么要常常忏悔？ | What is the Point of Repenting Constantly？,学诚法师,,,
戒幢佛学研究所,,Jiechuang Buddhism Research Institute,菩提书院,定稿,,,,,,
界限,shreshhold,This is an important criterion and a threshold for learning the teachings.这就是一个很重要的标准和界限。,龙泉寺,LQI20170821,,寻找心灵的依靠 | Seeking A Harbor for Our Soul,学诚法师,,,
金刚般若波罗蜜,The Diamond prajna-paramita,The Buddha said: This sutra should be called The Diamond prajna-paramita.佛告须菩提，是经名为金刚般若波罗蜜,经论,金刚经,,英语佛教微信公众号,,,,
